category,model,url,spec_key,spec_value,found
direct-cool-refrigerator,Direct Cool Refrigerator,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator,,,no
direct-cool-refrigerator,No Frost Refrigerator,http://marcelbd.com/refrigerator-freezer/no-frost-refrigerator,,,no
direct-cool-refrigerator,Freezer,http://marcelbd.com/refrigerator-freezer/freezer,,,no
direct-cool-refrigerator,Beverage Cooler,http://marcelbd.com/refrigerator-freezer/beverage-cooler,,,no
direct-cool-refrigerator,-Direct Cool Refrigerator,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator,,,no
direct-cool-refrigerator,-No Frost Refrigerator,http://marcelbd.com/refrigerator-freezer/no-frost-refrigerator,,,no
direct-cool-refrigerator,-Freezer,http://marcelbd.com/refrigerator-freezer/freezer,,,no
direct-cool-refrigerator,-Beverage Cooler,http://marcelbd.com/refrigerator-freezer/beverage-cooler,,,no
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Type,Direct Cool,yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Gross Volume,380 Ltr.,yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Net Volume,365 Ltr.,yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,"Climatic Type (SN, N, ST, T)",N~ST,yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Rated Operating Voltage and Frequency,220-240V~ and 50Hz,yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Compressor Input Power (Watt),V 0401- 130 V 0501- 50.3~166.7 V 0601- 130 V 0701- 130 V 0702- 130 V 0703-130 V 0801-33.78~126.46 V 0802-33.78~126.46,yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Compressor Type,V 0401- RSCR V 0501-BLDC V 0601- RSCR V 0701- RSCR V 0702- RSCR V 0703-RSCR V 0801-BLDC V 0802-BLDC,yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Cooling Effect,Freezer Cabinet Less than -18℃ Refrigerator Cabinet 0℃ to +5℃,yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Temperature Control (Electronic/  Mechanical),V 0401- Mechanical V 0501- Mechanical V 0601- Mechanical V 0701- Mechanical V 0702- Mechanical V 0703-Mechanical V 0801-Mechanical V 0802-Electronic,yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Defrosting (Automatic/ Manual),Manual,yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Reversible Door,No,yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Handle (Recessed/ Grip),Recessed/ Grip,yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Lock,Yes,yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Capillary,Copper,yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Polyurethane foam blowing agent,Cyclopentene [Eco-friendly (100% CFC & HCFC Free) Green Technology],yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Operating voltage,V 0401/V 0601/V 0701/V 0702/V 0703: Need Voltage stabilizer capacity is 2100VA V 0501: Wide Voltage Design (105V-276V) V 0801:Wide Voltage Design (75V-264V) N.B.: If out of voltage range(75V-264V) then suggested voltage stabilizer capacity is 2100VA.,yes
direct-cool-refrigerator,MFC-C6E-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c6e-gdeh-dd-inverter,Shelf (Material/ No.),Wire/3,yes
